placeName,placeId,review,price,description,address,sw4,sw11,sw12,telephone,website,type,tag1,tag2,tag3,subcategory,photo
ARCH Clapham,ChIJVVUZWVAEdkgRJL-_gLipEgY,4.4,,LGBTQ+ Hybrid full day/night venue in Clapham serving everything from coffee and protein shakes to wine and cocktails as well as indulgent brunches and roasts.,"Arch 642, Voltaire Rd, Clapham, London SW4 6DH",1,0,0,2074986531,archclapham.co.uk,Bars,LGBTQ+ Friendly,Fantastic Flavours,Delicious Cocktails,Cocktail Bar,ARCH-Clapham.jpg
Argan Restaurant,ChIJGXqigFIEdkgRLqKb_Lt6_6s,3.9,££,Family-owned restaurant serving the best of Lebanese and Moroccan cuisine in the heart of Clapham.,"73 Venn St, Clapham Town, London SW4 0BD",1,0,0,2074983622,arganrestaurant.co.uk,Restaurants,Relaxing,Culturally Authentic Dishes,Fantastic Flavours,Middle Eastern,Argan-Restaurant.jpg
Augustine Kitchen,ChIJlY5mV3EFdkgRBn6ckFW1AMQ,4.6,££,Candle-lit bistro specialising in small plates and mains from the Evian region of the French Alps.,"63 Battersea Bridge Rd, Battersea, London SW11 3AU",0,1,0,2079787085,augustine-kitchen.co.uk,Restaurants,Romantic,Culturally Authentic Dishes,Small Plates / Sharing,French,Augustine-Kitchen.jpg
Aux Merveilleux de Fred,ChIJX6bmRJYFdkgR0OM-WoSDomI,4.6,££,"Traditional French speciality pastry brand created by chef Frédéric Vaucamps who has reworked traditional recipes like his super-lightweight Merveilleux which has quickly become a must-have, just like the cramiques and Belgian waffles. ","55 Northcote Rd, London SW11 1NP",0,1,0,2072230771,auxmerveilleux.com,Cafe,Fantastic Flavours,Great for a Quiet Catch-Up,Luxurious,"French, Cafe, Bakery",Aux-Merveilleux-de-Fred.jpg
BabaBoom Battersea,ChIJET923pcFdkgRSguCHHPCSA0,4.5,££,"Modern middle eastern food and simple, delishous kebabs cooked over fire.","30 Battersea Rise, London SW11 1EE",0,1,0,7809903181,bababoom.london,Restaurants,Quirky,Generous Portions,Fantastic Flavours,Middle Eastern,BabaBoom-Battersea.jpg
Bamia,ChIJHRs2_hoFdkgRHpOP_c75e6s,4.9,,Contemporary Eastern Mediterranean dishes created with the freshest ingredients and served alongside a well thought-through wine list.,"47 Northcote Rd, London SW11 1NJ",0,1,0,2039871880,bamia.co.uk,Restaurants,Delicious Cocktails,Fantastic Flavours,Small Plates / Sharing,Mediterranean,Bamia.jpeg
Banana Tree Battersea,ChIJRZ15o5cFdkgR71gCPXH__DY,4.2,££,"Indo-Chinese food in a bare-bones, canteen-style venue with an open kitchen and communal tables.","75-79 Battersea Rise, London SW11 1HN",0,1,0,2072282828,bananatree.co.uk,Restaurants,Rustic,Great for Vegans/Vegetarians,Relaxing,Pan-Asian,Banana-Tree-Battersea.jpg
Bangkok Bay,ChIJEzjKwp8FdkgR1WShqyZsObs,4.4,££,Traditional Thai eatery with a smart interior serving generous portions.,"246 Battersea Park Rd, Battersea, London SW11 3BP",0,1,0,2072235924,bangkokbay.co.uk,Restaurants,Culturally Authentic Dishes,Fantastic Flavours,Fantastic Service,Thai,Bangkok-Bay.jpg
Bar Social,ChIJnX0_kqIFdkgRzgWwo1DtftY,4.3,££,Cocktails and dancing in matrix of opulent lounge and basement rooms featuring weekly poker nights.,"245 Lavender Hill, London SW11 1JW",0,1,0,2072232000,barsocial.co.uk,Bars,Delicious Cocktails,Fantastic Wine List,Party Vibes,Cocktail Bar,Bar-Social.jpg
Barsito,ChIJ--jShlIEdkgR0A_9FSWHgIE,4.2,££,Simply decorated neighbourhood tapas bar with galley-style open kitchen and sherry-barrel tables.,"57 Venn St, Clapham Town, London SW4 0BD",1,0,0,2076274000,barsito57.com,Restaurants,Culturally Authentic Dishes,Fantastic Wine List,Relaxing,"Spanish, Tapas",Barsito.jpeg
Battersea Arts Centre,ChIJPzZkBqMFdkgRUSjanwPITYw,4.6,,"Hub for the arts hosting drama shows, discussions and dance events, plus a bar with homemade food.","Lavender Hill, London SW11 5TN",0,1,0,2072232223,bac.org.uk,Activities,Awesome Architecture,Great Music,Entertaining,Cultural,Battersea-Arts-Centre.jpg
Battersea Brewery,ChIJs30yxMYFdkgRulWapKZSawI,4.6,££,Brewery serving a wide range of its own brewed beers and tasty food in an atmospheric taproom.,"12 - 14 Arches Ln, Nine Elms, London SW11 8AB",0,1,0,2081612366,batterseabrew.co.uk,Bars,Craft / Local Beer,Entertaining,Rustic,"Brewery, Tap Room",Battersea-Brewery.jpg
Battersea Park Children's Zoo,ChIJed76NXMFdkgRVjjPgq8ZIxE,4.3,,"Home to smaller animals including otters, capuchins and chinchillas, with an interactive play area.","Battersea Park - Via, Chelsea Bridge, London SW11 4NJ",0,1,0,2079245826,batterseaparkzoo.co.uk,Activities,Great for Young Kids/Families,Relaxing,Entertaining,"Educational, Outdoor",Battersea-Park-Children's-Zoo.jpeg
Be At One - Battersea Rise,ChIJJyzkC5cFdkgRUGmfAUiYLEU,4.2,££,"Lively chain bar that serves sweet, sour and spicy cocktails, and offers mixing masterclasses.","85 Battersea Rise, London SW11 1HW",0,1,0,2079786595,beatone.co.uk,Bars,Entertaining,Party Vibes,Delicious Cocktails,Cocktail Bar,fallback.jpeg
Be At One - Clapham Common,ChIJ_asgeE0EdkgRc_V5s3b-CiA,4.1,££,"Lively chain bar that serves sweet, sour and spicy cocktails, and offers mixing masterclasses.","4 Clapham Common South Side, Clapham Common, London SW4 7AA",1,0,0,2076229406,beatone.co.uk,Restaurants,Entertaining,Party Vibes,Delicious Cocktails,Cocktail Bar,fallback.jpeg
Berbere Clapham,ChIJYeTdgFIEdkgRRpFtN1BgWRM,4.2,££,Italian restaurant in the heart of Clapham run by pizza aficionados Matteo and Salvatore Aloe.,"67 Venn St, Clapham Town, London SW4 0BD",1,0,0,2076273881,berberepizza.it,Restaurants,Fantastic Service,Fantastic Flavours,Relaxing,Pizza,fallback.jpeg
Biscuiteers,ChIJ0e8Fr5cFdkgRD5934qf3qd4,4.2,,"This charming shop and cafe with counter seats features hand-iced biscuits, chocolates & hot drinks.","13 Northcote Rd, London SW11 1NG",0,1,0,2079245488,www.biscuiteers.com,Restaurants,Great for Vegans/Vegetarians,Fantastic Flavours,Great for Young Kids/Families,Desserts,fallback.jpeg
Bistro Union,ChIJe3Va2EoEdkgRUbvmmsICN1o,4.2,££,"Modern British menu in a bright, informal bistro with wooden bar, terrace and retro school theme.","40 Abbeville Rd, Clapham Common, London SW4 9NG",1,0,0,2070426400,bistrounion.co.uk,Restaurants,Romantic,Great Music,Modern Design,British,fallback.jpeg
Blame Gloria - Clapham Junction,ChIJiQOWyEUFdkgR2HZbOjNX27c,4.2,,"Cocktail bar with a beautifully decorated interior and carefully selected cocktail menu. Perfect for private hires, birthdays, group bookings and corporate events. Sip on your favourite cocktail, beer or wine and party the night away with Gloria.","89-91 Battersea Rise, London SW11 1HW",0,1,0,2081910723,blamegloria.co.uk,Bars,Fantastic Service,Party Vibes,Delicious Cocktails,Cocktail Bar,fallback.jpeg
Bodean's BBQ Clapham,ChIJsc02i00EdkgRe_350SMar50,4.2,££,"Lively restaurant with booths, wood panelling, TV sports and a menu of burgers, BBQ ribs and wings.","169 Clapham High St, Clapham Town, London SW4 7SS",1,0,0,2076224248,bodeansbbq.com,Restaurants,Generous Portions,Craft / Local Beer,Great for Watching Sport,Barbecue,fallback.jpeg
Bottle Apostle,ChIJh6fuJksEdkgRp2Jhin__oFo,4.6,,Wine shop in Abbeville village offering a small number of seats for in-shop tastings.,"59 Abbeville Rd, Clapham Common, London SW4 9JW",1,0,0,2033761447,bottleapostle.com,"Bars, Activities",Fantastic Wine List,Entertaining,Fantastic Service,"Educational, Immersive",fallback.jpeg
BrewDog Clapham,ChIJcYu8a70FdkgRvNdDwoS5Bqs,4.5,££,"No-nonsense chain bar specialising in the Scottish brewery's craft beers, with regular guest brews.","11-13 Battersea Rise, London SW11 1HG",0,1,0,2072236346,brewdog.com,Bars,Craft / Local Beer,Relaxing,Buzzing Atmosphere,"Tastings, Wine Bar",fallback.jpeg
Brickwood Battersea,ChIJr6F4xuAFdkgRDNgNOHeDF8Q,4.8,££,"Aussie cafe chain with delicious caskes, toasties and some of the best coffee in Southwest London.","21 Battersea Rise, London SW11 1HG",0,1,0,2030110600,brickwoodlondon.com,Cafe,Great for a Quiet Catch-Up,Great for Bringing the Dog,Fantastic Flavours,Cafe,fallback.jpeg
Brickwood Clapham,ChIJnWYLbU0EdkgR9UlZUpJN1K0,4.4,££,"Aussie cafe chain with delicious caskes, toasties and some of the best coffee in Southwest London.","16 Clapham Common South Side, Clapham Common, London SW4 7AB",1,0,0,2030110600,brickwoodlondon.com,Cafe,Great for a Quiet Catch-Up,Great for Bringing the Dog,Fantastic Flavours,Cafe,fallback.jpeg
Brio Tapas Bar & Restaurant,ChIJH_OerwQFdkgRyVapPuthEmw,4.6,,"Family-owned, authentic tapas restaurant & bar based in the heart of Clapham with outdoor space. ","27-31 Bedford Rd, Clapham Town, London SW4 7SH",1,0,0,2037142747,brioclapham.co.uk,Restaurants,Culturally Authentic Dishes,Fantastic Wine List,Relaxing,"Spanish, Tapas",fallback.jpeg
Bui Vien Restaurant,ChIJl4WCBhgFdkgRas8rMj23rbI,4.7,,Authentic Vietnamese restaurant with dishes from across Vietnam paired with Vietnamese beverages such as Vietnamese coffee and Sai Gon beer.,"33 Lavender Hill, London SW11 5QW",0,1,0,2086168585,,Restaurants,Culturally Authentic Dishes,Fantastic Flavours,Relaxing,Vietnamese,fallback.jpeg
Buona Sera,ChIJ8fiNqZcFdkgRYRLMsF7jVwg,4.2,££,"Italian restaurant for traditional staples, where parties and families dine at large tables.","22-26 Northcote Rd, London SW11 1NX",0,1,0,2072289925,buonasera.co.uk,Restaurants,Good Value for Money,Buzzing Atmosphere,Fantastic Service,Italian,fallback.jpeg
Butchies Clapham High Street,ChIJG1K_oJIFdkgRgPUVrTmzLEs,4.7,,"Fun, bustling Fried Buttermilk Chicken shop on Clapham High Street.","122 Clapham High St, Clapham Town, London SW4 7TB",1,0,0,2038747998,butchies.co.uk,Restaurants,Quirky,Street Food Vibes,Generous Portions,Fried Chicken,fallback.jpeg
Cafe Sol,ChIJBYvxuFEEdkgRCUPh2EVZde0,4,££,Tex Mex staples and a wide tequila menu in a bar/restaurant with streetside seating and weekend DJs.,"56 Clapham High St, Clapham Town, London SW4 7UL",1,0,0,2074988558,cafesol.com,Restaurants,Great Music,Party Vibes,Generous Portions,"Latin American, Mexican, Cocktail Bar",fallback.jpeg
Cafe Tamra,ChIJMfh4RpYFdkgR0oJLkLHBGwg,4.4,,"Relaxed, family-owned cafe serving breakfast & lunch classics alongside coffee, ciders & wine.","63 Northcote Rd, London SW11 1NP",0,1,0,,cafetamra.co.uk,Cafe,Fantastic Flavours,Relaxing,Rustic,Cafe,fallback.jpeg
Cairo Kitchen,ChIJwb-shOgFdkgR4nfz2qRz2Bw,4.8,,"Delicious and authentic Egyptian cuisine served in modern, comfortable surroundings","5, Ascot Parade, Clapham Park Rd, Ferndale, London SW4 7EY",1,0,0,2076222288,www.cairokitchen.co.uk,Restaurants,Fantastic Flavours,Culturally Authentic Dishes,Rustic,Middle Eastern,fallback.jpeg
Camile Thai Battersea,ChIJjf9MIjMFdkgR0FETcycFUAQ,4.2,,Tasty and healthy Thai restaurant chain.,"46 Battersea Park Rd, Battersea, London SW11 4JP",0,1,0,2031500075,camile.co.uk,Restaurants,Great for Vegans/Vegetarians,Relaxing,Modern Design,Thai,fallback.jpeg
Camile Thai Clapham,ChIJAQBN1koEdkgRGw_ixzGsr-I,3.9,,Tasty and healthy Thai restaurant chain.,"47 Abbeville Rd, Clapham Common, London SW4 9JX",1,0,0,2087721110,camile.co.uk,Restaurants,Great for Vegans/Vegetarians,Relaxing,Modern Design,Thai,fallback.jpeg
Carmen Tapas,ChIJjdvld00EdkgRwpb9WDRfuTI,4.2,££,Tapas plates and paella served at small tables in a colourful rustic cafe with a Spanish wine list.,"6 Clapham Common South Side, Clapham Common, London SW4 7AA",1,0,0,2076226848,carmenbardetapas.com,Restaurants,Culturally Authentic Dishes,Fantastic Wine List,Relaxing,"Spanish, Tapas",fallback.jpeg
"Casa Manolo, Clapham Junction",ChIJybz1z5kFdkgRkARSjSwRNd0,4,££,Authentic and relaxed tapas restaurant in Clapham.,"20 St John's Rd, London SW11 1PN",0,1,0,2072236176,casa-manolo.co.uk,Restaurants,Culturally Authentic Dishes,Fantastic Wine List,Relaxing,"Spanish, Tapas",fallback.jpeg
Chada Thai,ChIJy5wDhwoFdkgRN1yHBG_XEa0,4.6,,Elegant and modern thai restaurant in Clapham Junction.,"208-210, Battersea Park Rd, Battersea, London SW11 4ND",0,1,0,2076222209,chadathai.com,Restaurants,Luxurious,Fantastic Flavours,Fantastic Service,Thai,fallback.jpeg
Cheeky Chicos,ChIJr8ESOBcFdkgRTZ2_VAqT29Y,4.5,,"Mexican restaurant serving up a cheeky fusion of Mexican inspired tacos, tostadas, and sharing plates","126 St. John Hill, London SW11 1SL",0,1,0,2086162121,www.cheekychicos.co.uk,Restaurants,Buzzing Atmosphere,Great for Date Night,Street Food Vibes,Mexican,fallback.jpeg
Cher Thai Eatery,ChIJTWz4bgQFdkgRH-MuIn2pJ90,4.9,,Thai restaurant serving authentic Thai cuisine in a relaxed setting to appeal to all the senses.,"22 North St Clapham Common Old Town, London SW4 0HB",1,0,0,2035833702,cherthailondon.co.uk,Restaurants,Fantastic Service,Culturally Authentic Dishes,Fantastic Flavours,Thai,fallback.jpeg
Chipotle Battersea,ChIJRwhcpUsFdkgRUyFfHrCZZ70,3.6,,"Fast-food chain offering Mexican fare, including design-your-own burritos, tacos & bowls.","44 Northcote Rd, London SW11 1NZ",0,1,0,2030938660,https://www.chipotle.co.uk/,Restaurants,Street Food Vibes,Good Value for Money,Relaxing,Mexican,fallback.jpeg
Churchills,ChIJFw6g2o8FdkgRq8cgI-xxjCc,4.3,£,A welcoming Pub based near Clapham Junction station with live music every fortnight.,"151 St John's Hill, London SW11 1TQ",0,1,0,2082657265,,Bars,Good Value for Money,Buzzing Atmosphere,Fantastic Service,Pub,fallback.jpeg
Clapham Picturehouse,ChIJ1_8BglIEdkgRSu8f5v7ESpM,4.4,,"Independent arthouse cinema with modern seating and bar showing mainstream, classic and cult films.","76 Venn St, Clapham Town, London SW4 0AT",1,0,0,8719025747,picturehouses.com,Activities,Relaxing,Quirky,Great for An Evening with Friends,"Cultural, Immersive",fallback.jpeg
Curry Leaf,ChIJixknh90FdkgRwhifin10bgI,4.6,,No frills BYO Indian restaurant offering all the classics alongside more unusual chef's specials.,"135A St John's Hill, London SW11 1TD",0,1,0,2075850703,curryleafclapham.co.uk,Restaurants,Relaxing,Great for Large Groups (6+),Fantastic Flavours,,fallback.jpeg
Curry Leaves,ChIJvWsjWpkFdkgRIkkgnFORcqI,4.3,£,"Independent, family-run Indian restaurant in Clapham.","103 Falcon Rd, Battersea, London SW11 2PF",0,1,0,2072280010,curryleavesrestaurant.co.uk,Restaurants,Culturally Authentic Dishes,Intimate,Great for Vegans/Vegetarians,Indian,fallback.jpeg
D Vine Cellars,ChIJyZuRVlAEdkgR1TUX4ovrAQg,4.4,,Wine merchant championing ethical and artisan producers in a compact shop with a tasting cellar.,"1 Voltaire Rd, Clapham Town, London SW4 6DQ",1,0,0,2036091331,dvinecellars.com,Bars,Fantastic Wine List,Intimate,Relaxing,Wine Bar,fallback.jpeg
Dan Angel Restaurant,ChIJYdPa2Y8FdkgRH5BEMx78W5Y,4.5,££,"Wood-fired pizza, Spanish tapas and Med-style mains served in a stylish, low-key dining room.","143 St John's Hill, London SW11 1TQ",0,1,0,2077381222,dnarestaurant.uk,Restaurants,Small Plates / Sharing,Rustic,Good Value for Money,"Pizza, Spanish, Tapas, Mediterranean",fallback.jpeg
Darts Club Clapham,ChIJa9dBHZ8FdkgRoBwYMb41Pks,4.3,,"Hidden away in the Alexandra pub in Clapham; enjoy classic cocktails combined with pizzas and craft beers, the perfect mix to go alongside darts. ","Clapham Common South Side, Clapham Common, London SW4 7AA",1,0,0,2076275102,www.alexandraclapham.com/darts-club-clapham,Activities,Craft / Local Beer,Entertaining,Relaxing,Games,fallback.jpeg
Deli Boutique,ChIJYfesdL4FdkgR60XMAiQsZco,4.4,,"French delicatessen, bakery & cafe, with a real passion for food.","Couleur Cafe, 32 Webb's Rd SW, London SW11 6SF",0,1,0,2036749344,deli-boutique.edan.io,Cafe,Fantastic Flavours,Intimate,Fantastic Service,Cafe,fallback.jpeg
Dhaba Indian Street Food,ChIJVWodTwgFdkgRsMBMTpa_7oc,4.6,,Award-winning Indian street food-inspired restaurant in Battersea.,"120 Battersea Park Rd, Battersea, London SW11 4LY",0,1,0,2076272582,dhabasw11.com,Restaurants,Culturally Authentic Dishes,Fantastic Flavours,Relaxing,Indian,fallback.jpeg
Dip & Flip Battersea,ChIJdR-qDpcFdkgRobK72_KEMYU,4.5,££,Gourmet burgers and hot meat sandwiches topped with gravy in a simple-yet-stylish dining room.,"87 Battersea Rise, London SW11 1HW",0,1,0,,dipandflip.co.uk,Restaurants,Generous Portions,Good Value for Money,Relaxing,Burgers,fallback.jpeg
Doctor Espresso Mama V's,ChIJXWiZV1AEdkgRHDMv216wCFk,4.3,,Retro Italian Cafe offering a unique coffee experience with 1960 Gaggia Lever created coffee and artisan ciabattas.,,,,,2076229741,,Cafe,Fantastic Service,Relaxing,Entertaining,Cafe,fallback.jpeg
Donna Margherita,ChIJNYztc6MFdkgR9FjJbs-AGls,4.4,££,Wood-fired pizzas and traditional southern Italian dishes in a family-run Neapolitan restaurant.,"183 Lavender Hill, London SW11 5TE",0,1,0,2072282660,donnamargherita.co.uk,Restaurants,Culturally Authentic Dishes,Fantastic Flavours,Fantastic Service,"Italian, Pizza",fallback.jpeg
Dumplings & Baos,ChIJ0RcczqoFdkgRZssBQl_4FpE,4.8,,"Asian-style Cafe serving an elegant mix of wholesome, modern dim sum and French-style patisserie","31 Clapham Park Rd, Clapham Town, London SW4 7EE",1,0,0,2037590162,https://dumplingsbaos.business.site/,Restaurants,Fantastic Flavours,Intimate,Culturally Authentic Dishes,Chinese,fallback.jpeg
Eat Of Eden,ChIJ5xgUoWEFdkgRFjG5g-EudMM,4.4,,Vegan restaurant offering great tasting specialist plant based cuisine.,"Unit 6, Ascot Parade, Clapham Park Rd, Ferndale, London SW4 7EY",1,0,0,2074984412,eatofeden.co.uk,Restaurants,Great for Vegans/Vegetarians,Fantastic Service,Fantastic Flavours,Vegan,fallback.jpeg
Eco Restaurant,ChIJXzK1eVIEdkgRm4ZaMtcxtNU,4.1,££,"Italian pizza place with distressed brick walls, pendant lamps, wooden counter seats and banquettes.","162 Clapham High St, Clapham Town, London SW4 7UG",1,0,0,2079781108,ecorestaurants.com,Restaurants,Fantastic Service,Fantastic Flavours,Buzzing Atmosphere,Italian,fallback.jpeg
En Root,ChIJ53uDd0wPdkgRWuSvUg6005k,4.9,,"Vegan restaurant cooking with fresh seasonal vegetables, wholesome pulses and aromatic Gujarati spices to deliver a unique, internationally influenced menu","5, Ascot Parade, Clapham Park Rd, Ferndale, London SW4 7EY",1,0,0,2080016603,enrootldn.co.uk,Restaurants,Great for Vegans/Vegetarians,Fantastic Flavours,Intimate,"Indian, Vegan",fallback.jpeg
Fish in a Tie,ChIJX6I3WpkFdkgR_yAT_wNk_KI,4.4,£,"Mediterranean cuisine with the accent on fish, served in a relaxed bistro with exposed brick walls.","105 Falcon Rd, Battersea, London SW11 2PF",0,1,0,2079241913,fishinatie.com,Restaurants,Luxurious,Romantic,Fantastic Flavours,"Mediterranean, Seafood",fallback.jpeg
Flavours of Brazil,ChIJtzcw8PEFdkgRZrauLPG-ROc,4.3,,"Brazilian street food prepared using the freshest ingredients, served alongside signature Brazilian cocktails in a fun atmosphere.","62 Clapham High St, Clapham Town, London SW4 7UL",1,0,0,2039728740,flavoursofbrazil.co.uk,Restaurants,Buzzing Atmosphere,Delicious Cocktails,Great Music,"Steak, Latin American",fallback.jpeg
Fogo de Chao Brazilian Steakhouse,ChIJb67ZF2QFdkgREKNQEWDeBsc,4.3,,"Brazilian Rodizio restaurant serving bottomless meat, complimented by freshly produced gourmet salads, selected hot dishes and charcuterie.","7uh, 126 Clapham High St, Clapham Town, London SW4 7UH",1,0,0,2077201333,fogodechaosteakhouse.co.uk,Restaurants,Generous Portions,Fantastic Service,Relaxing,"Steak, Latin American",fallback.jpeg
Franco Manca Battersea,ChIJZSNpaJYFdkgRtV-WrnNapI0,4.3,£,Neapolitan-style sourdough pizzas with organic ingredients in an industrial chic setting.,"76 Northcote Rd, London SW11 6QL",0,1,0,2079243110,francomanca.co.uk,Restaurants,Good Value for Money,Rustic,Great for Vegans/Vegetarians,Pizza,fallback.jpeg
Fu Manchu,ChIJUVYSZVAEdkgRPRrQf2F3wEI,3.3,£££,"Chinese-themed eatery/club under an exposed-brick railway arch for dumplings, drinks and live music.","15-16 Lendal Terrace, Larkhall, London SW4 7UX",1,0,0,2033978844,fumanchu.co.uk,Bars,Entertaining,Great Music,Quirky,"Cocktail Bar, Nightclub",fallback.jpeg
Gail's Abbeville,ChIJaUIoJEsEdkgRwpboDEjaKCE,4.1,££,"More than 30 types of bread are offered at this chain bakery serving coffee, breakfast and lunch.","71 Abbeville Rd, London SW4 9JW",1,0,0,2086738017,gailsbread.co.uk,Cafe,Great for Bringing the Dog,Fantastic Flavours,Fantastic Service,"Cafe, Bakery",fallback.jpeg
Gail's Battersea,ChIJnSyxmncFdkgRurM51uuf0J4,4,££,"More than 30 types of bread are offered at this chain bakery serving coffee, breakfast and lunch.","31- 32 Battersea Square, London SW11 3RA",0,1,0,2079241566,gailsbread.co.uk,Cafe,Great for Bringing the Dog,Fantastic Flavours,Fantastic Service,"Cafe, Bakery",fallback.jpeg
Gail's Clapham Old Town,ChIJScceJq0FdkgRgfXhpuFFj8E,4.3,££,"More than 30 types of bread are offered at this chain bakery serving coffee, breakfast and lunch.","10-12 Old Town, Clapham Town, London SW4 0JY",1,0,0,2076222797,gailsbread.co.uk,Cafe,Great for Bringing the Dog,Fantastic Flavours,Fantastic Service,"Cafe, Bakery",fallback.jpeg
Gazette Brasserie Battersea,ChIJHSvImYYFdkgRp4X4Jsv1rqI,4.2,££,"Rustic brasserie with brick walls and wooden furniture, offering a classical French menu.","79, Sherwood Court, Chatfield Rd, Battersea, London SW11 3UY",0,1,0,2072230999,gazettebrasserie.co.uk,Restaurants,Romantic,Intimate,Fantastic Wine List,French,fallback.jpeg
Girlfriend Clapham,ChIJKdC9r4wFdkgRa0F4PRY4tQ0,4.4,,Delicious cocktails meet beautiful design at this Clapham cocktail bar designed with the fairer sex in mind.,"40 Battersea Rise, London SW11 1EE",0,1,0,2072280377,girlfriendlondon.co.uk,Restaurants,Delicious Cocktails,Buzzing Atmosphere,Quirky,Cocktail Bar,fallback.jpeg
Go Ape Battersea Park,ChIJS0jABgsFdkgRrOJEDDwQmfs,4.5,,Adventure-activity chain venue where groups explore the forest canopy via a treetop rope course.,"Battersea Park, London SW11 4NJ",0,1,0,1603895500,goape.co.uk,Activities,Entertaining,Great for Young Kids/Families,Great for Large Groups (6+),"Outdoor, Active",fallback.jpeg
Good Morning Vietnam,ChIJIfU16ZkFdkgRDzzc2kxRWOQ,3.9,£,Simple Vietnamese restaurant in Battersea.,"12 St John's Hill, London SW11 1SA",0,1,0,2073500001,,Restaurants,Buzzing Atmosphere,Culturally Authentic Dishes,Fantastic Service,Vietnamese,fallback.jpeg
